#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
X[upos=NOUN]; Y[upos=DET]; X-[det]->Y	0.0	1.1044674079729015	48.65421009943224	99.85511713933415
X[upos=NOUN]; Y[upos=ADJ]; X-[mod]->Y	0.0	1.0729605397334105	29.077172639610684	99.67562557924003
X[upos=PROPN]; Y[upos=DET]; X-[det]->Y	1.0259477339701243e-75	1.0578999637435567	4.7177746402715615	100.0
X[upos=NOUN]; Y[upos=VERB]; X-[mod]->Y	2.1353861754527952e-19	1.0349667983692135	4.424885097179248	97.93882978723404
X[upos=PROPN]; Y[upos=ADJ]; X-[mod]->Y	5.341069221180083e-10	1.053224008640748	0.6849109315389468	99.78118161925602
X[upos=ADJ]; Y[upos=ADJ]; X-[conj]->Y	2.3122904519484953e-09	1.0410027361585228	1.276698008351107	98.60788863109049
X[upos=ADJ]; Y[upos=DET]; X-[det]->Y	3.5498891252021423e-07	1.0553980272088324	0.4145513532998889	100.0
X[upos=X]; Y[upos=DET]; X-[det]->Y	0.023262275241838656	1.0552264389246406	0.10513983598185586	100.0
X[upos=ADJ]; Y[upos=DET]; X-[mod]->Y	0.023262275241838656	1.0552264389246406	0.10513983598185586	100.0
X[upos=PRON]; Y[upos=DET]; X-[det]->Y	0.03981897126752236	1.0552181364442708	0.09011985941301931	100.0
X[upos=NOUN]; Y[upos=NUM]; X-[det]->Y	0.0420176676018871	1.0552173063335288	0.08861786175613566	100.0
X[upos=ADJ]; Y[upos=VERB]; X-[conj]->Y	0.05800643820362587	1.0552123261931605	0.07960587581483373	100.0
X[upos=VERB]; Y[upos=VERB]; X-[conj]->Y	0.06357936244671489	1.0181264563821335	0.6173210369791823	96.47887323943662
X[upos=VERB]; Y[upos=NOUN]; X-[subj@pass]->Y	0.10475917498150897	1.0552031982686065	0.06308390158911352	100.0
X[upos=PRON]; Y[upos=ADJ]; X-[mod]->Y	0.17928100543401826	1.055194902774021	0.04806392502027697	100.0
X[upos=ADJ]; Y[upos=ADJ]; X-[mod]->Y	0.22226015050838685	1.05519158527423	0.04205593439274235	100.0
X[upos=PRON]; Y[upos=VERB]; X-[mod]->Y	0.26646731077909447	1.0336585919502328	0.07209588753041546	97.95918367346938
X[upos=DET]; Y[upos=NOUN]; X-[unk]->Y	0.2907455527918373	1.0551874389602585	0.03454594610832407	100.0
X[upos=VERB]; Y[upos=ADJ]; X-[conj]->Y	0.3067908141567693	1.0551866097722218	0.033043948451440416	100.0
X[upos=VERB]; Y[upos=VERB]; X-[comp:pred@x]->Y	0.4234584603737984	1.0551816351672125	0.024031962510138484	100.0
X[upos=VERB]; Y[upos=DET]; X-[det]->Y	0.4468252395897738	1.0551808061535688	0.022529964853254827	100.0
X[upos=NOUN]; Y[upos=ADJ]; X-[orphan]->Y	0.471481046107009	1.0551799771648338	0.021027967196371174	100.0
X[upos=SYM]; Y[upos=DET]; X-[det]->Y	0.5249480151907742	1.0551783192620858	0.018023971882603865	100.0
X[upos=NOUN]; Y[upos=PRON]; X-[mod@relcl]->Y	0.5539133292322018	1.0551774903480704	0.016521974225720208	100.0
X[upos=ADJ]; Y[upos=VERB]; X-[mod]->Y	0.5539133292322018	1.0551774903480704	0.016521974225720208	100.0
X[upos=VERB]; Y[upos=DET]; X-[mod]->Y	0.5539133292322018	1.0551774903480704	0.016521974225720208	100.0
X[upos=ADV]; Y[upos=DET]; X-[det]->Y	0.5844764174768521	1.0551766614589593	0.015019976568836552	100.0
X[upos=ADJ]; Y[upos=ADJ]; X-[conj:emb]->Y	0.5844764174768521	1.0551766614589593	0.015019976568836552	100.0
X[upos=VERB]; Y[upos=PRON]; X-[mod]->Y	0.5844764174768521	1.0551766614589593	0.015019976568836552	100.0
X[upos=ADJ]; Y[upos=NOUN]; X-[subj]->Y	0.6167253904431347	1.0551758325947513	0.013517978911952897	100.0
X[upos=ADJ]; Y[upos=PRON]; X-[mod]->Y	0.686657987969703	1.0551741749410404	0.010513983598185587	100.0
X[upos=VERB]; Y[upos=ADJ]; X-[mod]->Y	0.686657987969703	1.0551741749410404	0.010513983598185587	100.0
X[upos=PROPN]; Y[upos=VERB]; X-[mod]->Y	0.7117282751350136	0.994289072318954	0.07359788518729911	94.23076923076923
X[upos=NUM]; Y[upos=DET]; X-[det]->Y	0.7245432068276719	1.0551733461515351	0.009011985941301932	100.0
X[upos=ADJ]; Y[upos=NOUN]; X-[orphan]->Y	0.7645180795039527	1.0551725173869286	0.007509988284418276	100.0
