#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
X[upos=NOUN]; Y[upos=DET]; X-[det]->Y	0.0	1.1089863627728405	39.218759197127554	99.80526897223211
X[upos=NOUN]; Y[upos=ADJ]; X-[mod]->Y	0.0	1.0685141186422933	13.630143033727707	99.14369815359915
X[upos=PROPN]; Y[upos=DET]; X-[det]->Y	4.470032931421572e-148	1.0707849443727742	3.771558066984519	99.98049541642285
X[upos=VERB]; Y[upos=PRON]; X-[subj]->Y	1.1896456426534745e-101	1.0673249981908464	3.068897521925952	99.71312455175712
X[upos=AUX]; Y[upos=PRON]; X-[subj]->Y	3.8190399395927136e-52	1.0667750050147107	1.526723173818353	99.75961538461539
X[upos=NOUN]; Y[upos=VERB]; X-[mod]->Y	1.8286043238860677e-44	1.0562529226349044	2.161692860085938	98.7563025210084
X[upos=NOUN]; Y[upos=NUM]; X-[det]->Y	2.6054018887795525e-43	1.0586316662319182	1.8747424804285127	98.98989898989899
X[upos=NUM]; Y[upos=DET]; X-[det]->Y	3.908362227925411e-32	1.0688759994659625	0.8019895226322914	100.0
X[upos=VERB]; Y[upos=NOUN]; X-[subj]->Y	1.026738132592432e-22	1.036861946453337	2.904820766378245	96.95481335952849
X[upos=AUX]; Y[upos=NOUN]; X-[subj]->Y	1.0184443683003904e-18	1.0359425959304918	2.4721878862793574	96.88581314878893
X[upos=ADJ]; Y[upos=ADJ]; X-[conj]->Y	6.636618541321331e-18	1.0632876942382563	0.5790511507445995	99.49431099873578
X[upos=VERB]; Y[upos=PRON]; X-[subj@expl]->Y	6.012579352559791e-14	1.066496160375461	0.3774501147801519	99.80544747081711
X[upos=AUX]; Y[upos=PRON]; X-[subj@pass]->Y	9.34267893432602e-14	1.0632124537666086	0.43557596091588674	99.49579831932773
X[upos=AUX]; Y[upos=ADJ]; X-[comp:pred]->Y	5.704773148419654e-13	1.043675406870843	1.0396432986049797	97.65031098825155
X[upos=AUX]; Y[upos=NOUN]; X-[subj@pass]->Y	6.112017456839036e-13	1.0424665136741058	1.1065983871917124	97.53566796368352
X[upos=AUX]; Y[upos=NOUN]; X-[comp:pred]->Y	1.3202192639191616e-12	1.0335758450788195	1.826917417152275	96.69003115264798
X[upos=SYM]; Y[upos=NUM]; X-[det]->Y	5.775409199485131e-12	1.068520745862265	0.28768614986167523	100.0
X[upos=AUX]; Y[upos=PRON]; X-[subj@expl]->Y	2.0343231082752934e-11	1.0685111406226944	0.2737065159809289	100.0
X[upos=PROPN]; Y[upos=ADJ]; X-[mod]->Y	4.0789516192152144e-10	1.0615160438112334	0.33403967272941315	99.34354485776805
X[upos=PRON]; Y[upos=DET]; X-[det]->Y	6.837113926670137e-09	1.0652647246037867	0.24353993760668669	99.69879518072288
X[upos=ADJ]; Y[upos=DET]; X-[det]->Y	2.183820321339624e-08	1.0602773828274659	0.284743069044676	99.23076923076923
X[upos=VERB]; Y[upos=NUM]; X-[comp:obl]->Y	7.607722281885102e-07	1.058722921828414	0.23986108658543762	99.08814589665653
X[upos=NUM]; Y[upos=NUM]; X-[conj]->Y	3.882209608235629e-05	1.0515915245247203	0.22956030372594033	98.42271293375394
X[upos=VERB]; Y[upos=NOUN]; X-[subj@pass]->Y	0.0006112386122375799	1.0404677972229754	0.2737065159809289	97.38219895287958
X[upos=VERB]; Y[upos=PROPN]; X-[subj]->Y	0.0016764805435579941	1.0384968770084657	0.2553122608746836	97.19887955182072
X[upos=X]; Y[upos=DET]; X-[det]->Y	0.002783860290474833	1.0683683912150372	0.06548354817823297	100.0
X[upos=AUX]; Y[upos=PROPN]; X-[subj]->Y	0.013140102050201073	1.0310234220792094	0.24353993760668669	96.50145772594753
X[upos=VERB]; Y[upos=PRON]; X-[subj@pass]->Y	0.01761313890884846	1.0566212953896834	0.06621931838248278	98.9010989010989
X[upos=NUM]; Y[upos=ADJ]; X-[mod]->Y	0.024678949508642075	1.0683517842421386	0.04120313143798929	100.0
X[upos=AUX]; Y[upos=PRON]; X-[subj@caus]->Y	0.03434748954378348	1.0683492687379013	0.03752428041674025	100.0
X[upos=ADJ]; Y[upos=DET]; X-[mod]->Y	0.037930194726507535	1.0427222034023125	0.08976396491847666	97.6
X[upos=VERB]; Y[upos=ADJ]; X-[subj]->Y	0.041882591330108895	1.0683477595242301	0.035316969803990815	100.0
X[upos=PRON]; Y[upos=VERB]; X-[mod]->Y	0.041882591330108895	1.0683477595242301	0.035316969803990815	100.0
X[upos=AUX]; Y[upos=VERB]; X-[mod@x]->Y	0.1117339891684439	1.0327407778334168	0.08534934369297781	96.66666666666667
X[upos=PRON]; Y[upos=ADJ]; X-[mod]->Y	0.11290122644394153	1.0683402144555083	0.024280416740243685	100.0
X[upos=AUX]; Y[upos=PRON]; X-[comp:pred]->Y	0.13871129991935144	1.0246207842636519	0.12066631349696862	95.90643274853801
X[upos=NOUN]; Y[upos=PRON]; X-[mod]->Y	0.15712434309357903	1.068337699802773	0.020601565718994644	100.0
X[upos=ADJ]; Y[upos=ADJ]; X-[mod]->Y	0.16786178026608067	1.0683371968944329	0.019865795514744832	100.0
X[upos=AUX]; Y[upos=ADJ]; X-[subj]->Y	0.17933289937448182	1.0683366939934944	0.019130025310495027	100.0
X[upos=PROPN]; Y[upos=NUM]; X-[det]->Y	0.17933289937448182	1.0683366939934944	0.019130025310495027	100.0
X[upos=AUX]; Y[upos=AUX]; X-[comp:cleft]->Y	0.21866696608197664	1.0683351853350898	0.0169227146977456	100.0
X[upos=AUX]; Y[upos=PROPN]; X-[subj@pass]->Y	0.2335622586444373	1.0338765240731613	0.04414621225498852	96.7741935483871
X[upos=PROPN]; Y[upos=VERB]; X-[mod]->Y	0.24325924139713476	1.0333110776800334	0.04341044205073871	96.72131147540983
X[upos=SYM]; Y[upos=SYM]; X-[conj]->Y	0.2495730175517327	1.0683341795998265	0.015451174289245981	100.0
X[upos=SYM]; Y[upos=DET]; X-[det]->Y	0.2666272594587785	1.0683336767432963	0.014715404084996175	100.0
X[upos=ADV]; Y[upos=DET]; X-[det]->Y	0.2666272594587785	1.0683336767432963	0.014715404084996175	100.0
X[upos=VERB]; Y[upos=DET]; X-[mod]->Y	0.2666272594587785	1.0683336767432963	0.014715404084996175	100.0
X[upos=AUX]; Y[upos=VERB]; X-[comp:cleft]->Y	0.30580045166817005	1.0244324943987102	0.05150391429748661	95.8904109589041
X[upos=AUX]; Y[upos=ADJ]; X-[subj@pass]->Y	0.3251053216377062	1.0683321682181095	0.012508093472246747	100.0
X[upos=AUX]; Y[upos=NOUN]; X-[subj@caus]->Y	0.3328123026672305	1.0280200365717846	0.03752428041674025	96.22641509433963
X[upos=VERB]; Y[upos=VERB]; X-[mod@x]->Y	0.3376285740035142	1.0115129748453562	0.13096709635646595	94.68085106382979
X[upos=NUM]; Y[upos=NUM]; X-[flat]->Y	0.3710531102347356	1.0683311625716534	0.01103655306374713	100.0
X[upos=NOUN]; Y[upos=NUM]; X-[mod@relcl]->Y	0.3964074140671695	1.0683306597595255	0.010300782859497322	100.0
X[upos=VERB]; Y[upos=VERB]; X-[conj:emb]->Y	0.4144013475158127	1.0228706139248505	0.03310965919124139	95.74468085106383
X[upos=ADJ]; Y[upos=VERB]; X-[conj]->Y	0.4211485691316467	1.0174587751656914	0.04414621225498852	95.23809523809523
X[upos=ADJ]; Y[upos=NUM]; X-[mod]->Y	0.42349399488534545	1.0683301569547974	0.009565012655247514	100.0
X[upos=NOUN]; Y[upos=ADJ]; X-[orphan]->Y	0.42349399488534545	1.0683301569547974	0.009565012655247514	100.0
X[upos=AUX]; Y[upos=ADJ]; X-[conj]->Y	0.45243119309990665	1.0683296541574687	0.008829242450997704	100.0
X[upos=VERB]; Y[upos=PRON]; X-[comp@expl]->Y	0.45243119309990665	1.0683296541574687	0.008829242450997704	100.0
X[upos=PROPN]; Y[upos=NOUN]; X-[flat@name]->Y	0.5163717727738764	1.0683286485850099	0.007357702042498087	100.0
X[upos=VERB]; Y[upos=ADJ]; X-[conj]->Y	0.5188949763534867	1.0255951960438008	0.017658484901995408	96.0
X[upos=ADJ]; Y[upos=ADJ]; X-[conj:emb]->Y	0.5516544985585543	1.0683281458098792	0.006621931838248278	100.0
X[upos=PRON]; Y[upos=PRON]; X-[conj]->Y	0.5581404921981102	1.0120992669787159	0.026487727352993113	94.73684210526315
X[upos=AUX]; Y[upos=ADJ]; X-[mod]->Y	0.5848068070700585	1.019766510726177	0.015451174289245981	95.45454545454545
X[upos=AUX]; Y[upos=VERB]; X-[conj:emb]->Y	0.5893477502251553	1.0683276430421473	0.005886161633998469	100.0
X[upos=VERB]; Y[upos=ADJ]; X-[mod]->Y	0.6101207577409389	1.0015540809115804	0.04414621225498852	93.75
X[upos=VERB]; Y[upos=NUM]; X-[comp:arg]->Y	0.6296161966220344	1.0683271402818146	0.005150391429748661	100.0
X[upos=VERB]; Y[upos=NOUN]; X-[comp:pred]->Y	0.6486746168371051	0.9967741718663347	0.30755194537642006	93.30357142857143
X[upos=VERB]; Y[upos=SYM]; X-[subj]->Y	0.654669187700111	1.0120976643560422	0.013243863676496557	94.73684210526315
X[upos=VERB]; Y[upos=VERB]; X-[comp:pred@x]->Y	0.6644131361941472	0.9961376318568076	0.0507681440932368	93.24324324324324
X[upos=VERB]; Y[upos=X]; X-[subj]->Y	0.6726357542771988	1.0683266375288802	0.004414621225498852	100.0
X[upos=VERB]; Y[upos=PROPN]; X-[subj@pass]->Y	0.7027601185741823	1.0054817005391665	0.011772323267996938	94.11764705882352
X[upos=NUM]; Y[upos=NUM]; X-[appos]->Y	0.7185943554883463	1.0683261347833446	0.0036788510212490437	100.0
X[upos=ADP]; Y[upos=DET]; X-[det]->Y	0.7185943554883463	1.0683261347833446	0.0036788510212490437	100.0
X[upos=VERB]; Y[upos=X]; X-[comp:obj]->Y	0.7185943554883463	1.0683261347833446	0.0036788510212490437	100.0
X[upos=PROPN]; Y[upos=PRON]; X-[mod]->Y	0.7185943554883463	1.0683261347833446	0.0036788510212490437	100.0
X[upos=AUX]; Y[upos=PRON]; X-[dislocated]->Y	0.7185943554883463	1.0683261347833446	0.0036788510212490437	100.0
X[upos=ADJ]; Y[upos=NOUN]; X-[orphan]->Y	0.7185943554883463	1.0683261347833446	0.0036788510212490437	100.0
X[upos=DET]; Y[upos=NOUN]; X-[unk]->Y	0.7185943554883463	1.0683261347833446	0.0036788510212490437	100.0
X[upos=VERB]; Y[upos=ADJ]; X-[comp:pred]->Y	0.7313989580096293	0.9927709070414547	0.2030725763729472	92.92929292929293
X[upos=VERB]; Y[upos=NUM]; X-[subj]->Y	0.7513676676725451	0.9971017478795371	0.010300782859497322	93.33333333333333
X[upos=PROPN]; Y[upos=PROPN]; X-[appos]->Y	0.7676927690113062	1.068325632045207	0.0029430808169992346	100.0
X[upos=X]; Y[upos=ADJ]; X-[mod]->Y	0.7676927690113062	1.068325632045207	0.0029430808169992346	100.0
X[upos=VERB]; Y[upos=DET]; X-[unk]->Y	0.7676927690113062	1.068325632045207	0.0029430808169992346	100.0
X[upos=ADJ]; Y[upos=PRON]; X-[subj]->Y	0.7676927690113062	1.068325632045207	0.0029430808169992346	100.0
X[upos=PRON]; Y[upos=NUM]; X-[det]->Y	0.7676927690113062	1.068325632045207	0.0029430808169992346	100.0
X[upos=NOUN]; Y[upos=NOUN]; X-[orphan]->Y	0.7676927690113062	1.068325632045207	0.0029430808169992346	100.0
