#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
X[upos=VERB]; Y[upos=PRON]; X-[subj]->Y	1.0183612891450522e-69	1.0460582259272013	29.380108991825615	99.97681965693093
X[upos=AUX]; Y[upos=PRON]; X-[subj]->Y	1.865173108114965e-31	1.037851602578258	14.700272479564033	99.9536822603057
X[upos=AUX]; Y[upos=PRON]; X-[subj@pass]->Y	2.946862866689045e-09	1.0341546545480367	4.06675749318801	100.0
X[upos=VERB]; Y[upos=PRON]; X-[comp@pass]->Y	5.962387566494135e-09	1.0341038003403291	3.923705722070845	100.0
X[upos=VERB]; Y[upos=PRON]; X-[subj@expl]->Y	4.294490405486311e-08	1.0339617312716232	3.5217983651226157	100.0
X[upos=VERB]; Y[upos=PRON]; X-[comp@expl]->Y	2.476144545138054e-06	1.0271585667907799	5.013623978201634	99.32523616734143
X[upos=AUX]; Y[upos=PRON]; X-[subj@expl]->Y	2.742103732510861e-06	1.0336646136618142	2.670299727520436	100.0
X[upos=VERB]; Y[upos=VERB]; X-[conj]->Y	0.002553037615302681	1.0148729141370085	7.963215258855586	98.15281276238456
X[upos=AUX]; Y[upos=PRON]; X-[comp:pred]->Y	0.06858269689253894	1.021682455475559	1.226158038147139	98.9010989010989
X[upos=VERB]; Y[upos=PRON]; X-[subj@pass]->Y	0.07291263956391725	1.0329474621549422	0.5517711171662125	100.0
X[upos=AUX]; Y[upos=PRON]; X-[subj@caus]->Y	0.1926234649414068	1.032879896096794	0.3474114441416894	100.0
X[upos=VERB]; Y[upos=VERB]; X-[conj:emb]->Y	0.22643530464420641	1.0328686620199536	0.31335149863760214	100.0
X[upos=PRON]; Y[upos=PRON]; X-[conj]->Y	0.27491277328923197	1.0328551912568305	0.2724795640326975	100.0
X[upos=VERB]; Y[upos=PRON]; X-[parataxis]->Y	0.3560216873082857	1.0328372474057892	0.21798365122615804	100.0
X[upos=AUX]; Y[upos=AUX]; X-[comp:cleft]->Y	0.47612510136295194	1.0328170839871733	0.15667574931880107	100.0
X[upos=VERB]; Y[upos=PRON]; X-[comp]->Y	0.5417579802497028	1.0328081304140235	0.12942779291553133	100.0
X[upos=AUX]; Y[upos=VERB]; X-[comp:cleft]->Y	0.5902754556247394	1.0044924455463276	0.4836512261580382	97.26027397260275
X[upos=PRON]; Y[upos=PRON]; X-[udep]->Y	0.6366334396459675	1.0327969453156962	0.09536784741144413	100.0
X[upos=AUX]; Y[upos=VERB]; X-[conj]->Y	0.6517270885037312	0.9981465146073552	3.5422343324250685	96.6542750929368
X[upos=AUX]; Y[upos=PRON]; X-[conj]->Y	0.6790730814137322	1.032792473411508	0.08174386920980926	100.0
X[upos=VERB]; Y[upos=PRON]; X-[comp:pred]->Y	0.6790730814137322	1.032792473411508	0.08174386920980926	100.0
X[upos=VERB]; Y[upos=PRON]; X-[mod]->Y	0.6845518499658246	0.9971201003687792	1.1444141689373297	96.55172413793103
X[upos=VERB]; Y[upos=VERB]; X-[mod]->Y	0.7013400493161117	1.032790237916695	0.07493188010899182	100.0
