#pattern	p-value	PR	percentage k/M1&M2	percentage k/M1&M3
['X-[det]->Y']	0.0	1.1157443529912723	65.51513800748397	99.76777835336989
['Y[upos=DET]']	0.0	1.1075658398567008	62.52976574505272	99.80527991012919
['Y[PronType=Art]']	0.0	1.0879705486947342	53.859869323980334	99.83257957905722
['Y[Definite=Def]']	0.0	1.0702255494930546	42.26559842344192	99.82822153880254
['X[Gender=Fem]', 'Y[Gender=Fem]']	3.472445787221313e-220	1.0433552859496753	31.56635268448897	98.7849197900224
['Y[upos=ADJ]', 'X-[mod]->Y']	4.109152406891965e-185	1.0426849005653906	21.730460181351102	99.14369815359915
['X[Gender=Masc]', 'Y[Gender=Masc]']	2.469883410392632e-184	1.0396032595827238	35.32592757686307	98.39573939750376
['Y[upos=ADJ]']	1.1400564631669543e-178	1.0420501154800115	21.796150101467465	99.09338168631007
['Y[Definite=Ind]']	6.119854008970002e-162	1.0461003524973962	11.594270900538422	99.84846954237801
['Y[Gender=Fem]']	2.1763748254470825e-99	1.0298967760727744	32.58689251486821	97.87204058624577
['Y[Gender=Masc]']	4.8424382581951845e-79	1.0263065293787714	36.41919553308543	97.54312105312765
['X[Gender=Fem]']	6.294167386399261e-61	1.0227141649952385	46.00405869863577	97.1151227001461
['Y[PronType=Prs]']	1.1179446818517837e-58	1.0408009430599168	5.072200260413612	99.65429822539755
['Y[Person[psor]=3]']	5.589785385746776e-52	1.040419794276045	4.5455078651948995	99.64001028542042
['Y[Shared=No]']	6.977520659435911e-25	1.0377762291092987	2.4410843528956354	99.47418738049714
['X-[mod]->Y', 'Y[Tense=Past]']	2.8942803324120157e-22	1.031837339446786	3.4416826003824093	98.88776541961577
['X-[mod]->Y', 'Y[VerbForm=Part]']	2.8942803324120157e-22	1.031837339446786	3.4416826003824093	98.88776541961577
['Y[VerbForm=Part]']	8.335633916101939e-21	1.0308304462775604	3.4592781146992926	98.79396984924624
['Y[upos=VERB]', 'X-[mod]->Y']	3.941420454471546e-20	1.0304196923147289	3.446374737533578	98.7563025210084
['Y[PronType=Dem]']	1.401370544937034e-19	1.0339870954236374	2.5032551701486234	99.11751045053414
['Y[upos=VERB]', 'Y[Tense=Past]']	7.40746971590274e-15	1.0260175114461283	3.5566399605860477	98.34576710995783
['Y[Tense=Past]']	6.07518108223819e-13	1.0241734722785447	3.5953500920831916	98.1742472773863
['Y[Person[psor]=1]']	1.911243872997805e-06	1.0424928177836386	0.3718518692301376	100.0
['X[Shared=No]']	0.00030740086484760476	1.023249123564088	0.9325622587948246	98.14814814814815
