#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
('VERB', 'comp:obj')	0.0	5.014520281301017	38.52863980237765	87.5
('ADJ', 'mod')	9.998432357987668e-88	3.6316411990436395	1.4281303072410065	90.68627450980392
('VERB', 'udep')	1.4445448044589524e-53	3.0021418429649014	1.2582985950285626	75.11520737327189
('ADP', 'mod')	7.827993013056274e-16	2.224283876798999	0.6561679790026247	55.92105263157895
('ADV', 'mod')	6.010378457265258e-14	3.6854833362800568	0.2007102053419793	92.85714285714286
('ADP', 'subj')	1.658360233415667e-10	2.439300928333536	0.3319438011425042	61.42857142857143
('NOUN', 'conj')	1.0487458225951652e-06	1.1449521572082322	7.943492357572951	28.599221789883266
('NUM', 'mod')	1.3654091069848864e-06	2.419310719520684	0.1929905820595955	60.97560975609756
('AUX', 'udep')	4.424669082114438e-06	3.084724368882019	0.10807472595337347	77.77777777777779
('ADJ', 'comp:obj')	1.4793969795304934e-05	2.549910548635039	0.13895321908290875	64.28571428571429
('AUX', 'mod')	4.05591023827274e-05	1.7996623720390028	0.30106530801296894	45.348837209302324
('NOUN', 'comp:obj')	0.002285976202331864	2.147873039177807	0.10035510267098965	54.166666666666664
('PART', 'comp:obj')	0.003708101005217165	2.775183440179192	0.05403736297668674	70.0
('ADJ', 'udep')	0.0044423765998008865	2.97329703429101	0.04631773969430292	75.0
('PART', 'subj')	0.0044423765998008865	2.97329703429101	0.04631773969430292	75.0
('PART', 'udep')	0.004843904221063627	3.303536952660437	0.0385981164119191	83.33333333333334
('VERB', 'subj@pass')	0.004915410209490419	1.6112676941522275	0.2007102053419793	40.625
('PRON', 'compound')	0.01606180160606955	3.963863794301598	0.02315886984715146	100.0
('PROPN', 'mod')	0.027072769781885896	1.3220785255169207	0.31650455457773663	33.33333333333333
('ADJ', 'subj')	0.038480130559917496	1.3707887060819135	0.21614945190674695	34.5679012345679
('VERB', 'conj')	0.0426184988153066	1.6773040372283206	0.08491585610622202	42.30769230769231
('NOUN', 'flat')	0.06366311836402042	3.9636349598517606	0.015439246564767639	100.0
('PART', 'conj')	0.06366311836402042	3.9636349598517606	0.015439246564767639	100.0
('PRON', 'unk')	0.06366311836402042	3.9636349598517606	0.015439246564767639	100.0
('PROPN', 'comp:obj')	0.07270656694438578	2.265063430777716	0.030878493129535278	57.14285714285714
('VERB', 'compound')	0.08334236420579332	1.8295430241676764	0.04631773969430292	46.15384615384615
('CCONJ', 'conj')	0.1059703042139499	2.378225619643271	0.02315886984715146	60.0
('NUM', 'compound')	0.1059703042139499	2.378225619643271	0.02315886984715146	60.0
('ADV', 'subj')	0.11577488333101763	1.698828280153581	0.04631773969430292	42.857142857142854
('PRON', 'comp:obj')	0.15886575187992213	2.6423718344657194	0.015439246564767639	66.66666666666666
('AUX', 'comp:obj')	0.173113846554343	1.9818160759786891	0.02315886984715146	50.0
('PROPN', 'subj')	0.248419306261811	1.698666401932559	0.02315886984715146	42.857142857142854
('CCONJ', 'mod')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('ADJ', 'comp:pred')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('AUX', 'conj:emb')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('SCONJ', 'orphan')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('ADJ', 'subj@pass')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('ADP', 'subj@pass')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('ADV', 'unk')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('PROPN', 'subj@pass')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('INTJ', 'conj')	0.2523227955355578	3.963406160734965	0.0077196232823838196	100.0
('PRON', 'appos')	0.2652954727421457	1.415580905309842	0.0385981164119191	35.714285714285715
('NOUN', 'subj')	0.2976108521752401	1.23011147960203	0.06947660954145438	31.03448275862069
('VERB', 'parataxis')	0.4058339389917252	1.3211335032043856	0.02315886984715146	33.33333333333333
('VERB', 'conj:emb')	0.44098247270709506	1.9816644792712113	0.0077196232823838196	50.0
('CCONJ', 'unk')	0.44098247270709506	1.9816644792712113	0.0077196232823838196	50.0
('ADV', 'compound')	0.44098247270709506	1.9816644792712113	0.0077196232823838196	50.0
('CCONJ', 'comp:obj')	0.4687507308753036	1.056900015453562	0.09263547938860583	26.666666666666668
('PART', 'subj@pass')	0.4715739425366974	1.3211087090796787	0.015439246564767639	33.33333333333333
('ADJ', 'conj')	0.48138028123834375	1.188996988649525	0.02315886984715146	30.0
('NOUN', 'conj:emb')	0.5010273872607357	1.0107748362677997	0.29334568473058514	25.503355704697988
('ADJ', 'unk')	0.5608357970466518	1.1323568340245302	0.015439246564767639	28.57142857142857
('VERB', 'mod')	0.5820408331206817	1.3210839187832935	0.0077196232823838196	33.33333333333333
('ADP', 'appos')	0.5820408331206817	1.3210839187832935	0.0077196232823838196	33.33333333333333
('ADV', 'udep')	0.5820408331206817	1.3210839187832935	0.0077196232823838196	33.33333333333333
