#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
('ADP', 'comp:obj')	0.0	7.6703954424528495	82.99057666093759	70.15531062124248
('VERB', 'comp:obl')	1.274125481712011e-128	2.5621596197087153	2.6610561251703904	82.84132841328413
('ADJ', 'comp:obl')	1.9992682399963029e-13	2.4278003976896128	0.2785515320334262	79.66101694915254
('PROPN', 'compound')	0.027575277617798512	1.2056633969198594	0.4622770106086647	39.59390862944163
('PRON', 'comp:obl')	0.108012128031451	3.0429138758816903	0.011853256682273456	100.0
('ADP', 'conj')	0.13774467212409025	1.690577819935183	0.029633141705683638	55.55555555555556
('SYM', 'mod')	0.2530438207572429	2.0285697350483076	0.011853256682273456	66.66666666666666
('AUX', 'comp:obj')	0.3104080411484838	1.5214285714285714	0.017779885023410182	50.0
('ADP', 'comp:obl')	0.3286585247083114	3.0427927927927927	0.005926628341136728	100.0
('PART', 'comp:obl')	0.3286585247083114	3.0427927927927927	0.005926628341136728	100.0
('ADP', 'vocative')	0.3286585247083114	3.0427927927927927	0.005926628341136728	100.0
('NOUN', 'comp:obl')	0.549304921385172	1.5213667614983404	0.005926628341136728	50.0
('AUX', 'comp:aux@pass')	0.549304921385172	1.5213667614983404	0.005926628341136728	50.0
('ADJ', 'compound')	0.6461822094146266	0.9508203402893053	0.029633141705683638	31.25
('ADV', 'conj')	0.6974354716991363	1.0142247510668563	0.005926628341136728	33.33333333333333
('PROPN', 'flat')	0.705376990185903	0.9741872347600139	1.5053635986487286	32.03026481715006
('PROPN', 'comp:obj')	0.7279341117646964	0.8693192883815846	0.011853256682273456	28.57142857142857
('ADV', 'comp:obj')	0.7968816943503065	0.7606537458511142	0.005926628341136728	25.0
('PROPN', 'conj:emb')	0.7971603652094021	0.7606395590065793	0.011853256682273456	25.0
('PRON', 'conj')	0.8609407113877199	0.7158553978233655	0.023706513364546912	23.52941176470588
('NUM', 'compound')	0.8636434586675809	0.6085111427216691	0.005926628341136728	20.0
('SCONJ', 'comp:obj')	0.8879787857335384	0.6519391989160809	0.017779885023410182	21.428571428571427
('PART', 'subj@pass')	0.9084625633915826	0.5070827406353722	0.005926628341136728	16.666666666666664
('NOUN', 'compound')	0.9097204162942644	0.934371323922575	1.4757304569430452	30.74074074074074
('PROPN', 'conj')	0.9156081590253811	0.8709937165168646	0.34967107212706694	28.640776699029125
('DET', 'mod')	0.958749249156063	0.3802972380275012	0.005926628341136728	12.5
('ADJ', 'udep')	0.958749249156063	0.3802972380275012	0.005926628341136728	12.5
('NOUN', 'conj:emb')	0.9682802113939277	0.7959323293462496	0.23113850530433236	26.174496644295303
('ADJ', 'conj')	0.9814113265465545	0.30422593646277857	0.005926628341136728	10.0
('ADJ', 'comp:obj')	0.9930242037556082	0.43453333672078115	0.023706513364546912	14.285714285714285
('PRON', 'appos')	0.996225740485551	0.21728730610309557	0.005926628341136728	7.142857142857142
('VERB', 'conj')	0.9971045395390171	0.3509621084309881	0.017779885023410182	11.538461538461538
('ADJ', 'appos')	0.9981684199067382	0.2765207645179194	0.011853256682273456	9.090909090909092
('NOUN', 'comp:obj')	0.9991061715207202	0.25346748858988793	0.011853256682273456	8.333333333333332
('ADP', 'mod')	0.9998886633945081	0.5998157910361012	0.17779885023410183	19.736842105263158
('AUX', 'conj')	0.9999684365867685	0.1169735018419229	0.005926628341136728	3.8461538461538463
('PROPN', 'mod')	0.9999741914404464	0.5188817423422276	0.12445919516387127	17.073170731707318
('NOUN', 'subj')	0.9999904571360886	0.10486666339660895	0.005926628341136728	3.4482758620689653
('NUM', 'mod')	0.9999983193953453	0.14832205935715928	0.011853256682273456	4.878048780487805
('NOUN', 'conj')	0.9999996103935901	0.880502966793893	6.222959758193563	29.18287937743191
('VERB', 'unk')	0.9999997562915582	0.405125467164976	0.09482605345818765	13.333333333333334
('VERB', 'appos')	0.9999998250979967	0.12937219476452733	0.011853256682273456	4.25531914893617
('CCONJ', 'comp:obj')	0.9999999838432619	0.06755966492808599	0.005926628341136728	2.2222222222222223
('PROPN', 'appos')	0.9999999971396342	0.5921258276037688	0.43264386890298107	19.518716577540108
('NOUN', 'appos')	0.9999999999882462	0.6364317382663202	0.7882415693711847	21.011058451816748
('ADP', 'subj')	0.9999999999992483	0.04341004538372959	0.005926628341136728	1.4285714285714286
('AUX', 'mod')	0.9999999999999454	0.07064964925363876	0.011853256682273456	2.3255813953488373
('ADJ', 'subj')	0.9999999999999907	0.0375068050506647	0.005926628341136728	1.2345679012345678
('NOUN', 'mod')	1.0	0.05958370690548417	0.586736205772536	2.139615301491247
('ADJ', 'mod')	1.0	0.10403369814663682	0.04148639838795709	3.431372549019608
('VERB', 'subj')	1.0	0.012843937188325995	0.13038582350500802	0.46442896347899515
('AUX', 'comp:pred')	1.0	0.05345272369405258	0.17187222189296508	1.8102372034956304
('VERB', 'udep')	1.0	0.22360823724859344	0.09482605345818765	7.373271889400922
('AUX', 'subj')	1.0	0.011784044727688996	0.06519291175250401	0.40846639435573706
('VERB', 'comp:obj')	1.0	0.03859234169146197	0.4800568956320749	1.4200561009817672
('VERB', 'comp:pred')	1.0	0.17533808608982918	0.08297279677591418	5.785123966942149
('AUX', 'subj@pass')	1.0	0.0337316431340984	0.13038582350500802	1.150026136957658
('None', 'root')	1.0	0.021153100399426066	0.017779885023410182	0.7009345794392523
('PRON', 'mod')	1.0	0.0802214016584422	0.029633141705683638	2.6455026455026456
