#pattern	p-value	PR	percentage k/M1&M2	percentage k/M1&M3
['Y[lemma=premier]', 'X-[mod]->Y']	0.0	3.6048276912814132	11.871055773494799	98.72340425531915
['Y[lemma=premier]']	0.0	3.5784929822791987	11.871055773494799	98.02816901408451
['Y[lemma=grand]', 'X-[mod]->Y']	4.133595385435583e-220	3.507700426409127	7.078287566092444	99.75961538461539
['Y[lemma=grand]']	6.173314833895145e-218	3.4991060015423785	7.078287566092444	99.52038369304557
['Y[lemma=tout]']	1.939318922108033e-196	3.4943595342066955	6.259594064472113	100.0
['Y[lemma=autre]', 'X-[mod]->Y']	7.113758034068733e-189	3.464431730115299	6.225481835237933	99.18478260869566
['Y[lemma=autre]']	4.688801883008547e-187	3.454863113563839	6.225481835237933	98.91598915989161
['Y[lemma=même]']	6.179844142902833e-136	3.4445435092724677	4.349309227358008	100.0
['Y[lemma=nouveau]', 'X-[mod]->Y']	4.5847477656861777e-122	3.190217360153428	4.929217124339075	92.33226837060703
['Y[lemma=nouveau]']	4.09777226332709e-121	3.1798923116653985	4.929217124339075	92.03821656050955
['Y[NumType=Ord]']	5.18576175113162e-107	3.4212292476156834	3.4282790380351353	100.0
['Y[lemma=petit]']	2.0761274868927894e-101	3.385398058252427	3.377110694183865	99.0
['X[Number=Plur]', 'Y[lemma=nombreux]']	6.171013123341982e-94	3.360811913504692	3.189493433395872	98.42105263157895
['Y[lemma=nombreux]', 'Y[Number=Plur]']	6.171013123341982e-94	3.360811913504692	3.189493433395872	98.42105263157895
['Y[lemma=nombreux]']	2.088353690868171e-92	3.3430435488453263	3.189493433395872	97.90575916230367
['Y[Shared=No]']	1.4630823960800433e-83	3.402558710129688	2.6778099948831655	100.0
['Y[lemma=bon]']	2.7945662041879945e-80	3.341454859655576	2.7460344533515264	98.17073170731707
['Y[lemma=seul]', 'X-[mod]->Y']	3.2520331018365925e-78	3.285409469619996	2.8142589118198873	96.49122807017544
['Y[lemma=seul]']	1.469695070603629e-73	3.2096525096525097	2.8142589118198873	94.28571428571428
['Y[lemma=ancien]']	5.091183575092028e-68	3.0281929546919875	3.0018761726078798	88.88888888888889
['Y[lemma=second]']	4.2556698886168364e-58	3.3825165102537365	1.8591164932628346	100.0
['Y[lemma=meilleur]']	9.555470386681402e-54	3.2431280445372304	1.9614531809653761	95.83333333333334
['Y[lemma=deuxième]']	1.8147578466521527e-46	3.3734418282548475	1.4838819716868499	100.0
['Y[lemma=dernier]', 'X-[mod]->Y']	8.076800465442834e-46	2.690477573205811	2.6095855364148046	79.27461139896373
['Y[lemma=dernier]']	8.88153284286967e-45	2.6626081099286005	2.6095855364148046	78.46153846153847
['Y[lemma=jeune]']	4.6384553300110556e-38	3.097918883472322	1.5350503155381203	91.83673469387756
['Y[lemma=troisième]']	7.295721020483806e-35	3.3644360124180754	1.1086474501108647	100.0
['Y[lemma=beau]', 'X-[mod]->Y']	1.9342573305183122e-26	3.3579291365669075	0.8357496162374212	100.0
['Y[lemma=certain]']	6.314692932849614e-26	3.29398062364339	0.8698618454716016	98.07692307692307
['Y[lemma=beau]']	6.848755105892589e-25	3.2906019951840384	0.8357496162374212	98.0
['Y[lemma=haut]']	9.178379141033217e-24	2.935535641013812	1.057479106259594	87.32394366197182
['Y[lemma=vieux]']	3.1131450740609683e-22	3.354689110271384	0.6993006993006993	100.0
['Y[lemma=vrai]']	9.270417157717772e-21	3.2746478873239435	0.6993006993006993	97.61904761904762
['Y[lemma=XIXe]']	3.938084745641937e-20	3.353072433916924	0.6310762408323384	100.0
['Y[lemma=propre]']	5.082023976689458e-18	2.5942014757023983	1.0404229916425038	77.21518987341773
['Y[lemma=véritable]']	1.1312613167463144e-17	3.258979638526653	0.5969640115981579	97.22222222222221
['Y[lemma=gros]']	4.714446894524424e-16	3.1653228112312	0.5799078969810677	94.44444444444444
['X[Number=Sing]', 'Y[lemma=plein]']	1.2732109787662801e-14	3.071698113207547	0.5628517823639775	91.66666666666666
['Y[lemma=plein]', 'Y[Number=Sing]']	1.2732109787662801e-14	3.071698113207547	0.5628517823639775	91.66666666666666
['Y[lemma=mauvais]']	1.3372099441021239e-14	3.2380185121700378	0.4946273238956166	96.66666666666667
['Y[lemma=long]', 'X-[mod]->Y']	1.5163924346551107e-14	2.597509222533492	0.8186935016203309	77.41935483870968
['Y[lemma=XXe]']	2.3534645507879548e-14	3.3486379989720745	0.4434589800443459	100.0
