#pattern	p-value	PR	percentage k/M1&M2	percentage k/M1&M3
['Y[NumType=Ord]']	5.18576175113162e-107	3.4212292476156834	3.4282790380351353	100.0
['Y[Shared=No]']	1.4630823960800433e-83	3.402558710129688	2.6778099948831655	100.0
['X-[mod]->Y', 'Y[Gender=Masc]', 'Y[Number=Sing]']	4.147422833424738e-14	1.1850501857931504	37.233498209107964	33.435441874712815
['X[Gender=Masc]', 'X-[mod]->Y', 'Y[Number=Sing]']	6.072518726194042e-14	1.1838508120157802	37.09704929217124	33.42040565457898
['X[Gender=Masc]', 'Y[Gender=Masc]', 'Y[Number=Sing]']	2.2683068691400281e-13	1.1791327913279133	37.06293706293706	33.33333333333333
['Y[Gender=Masc]', 'Y[Number=Sing]']	2.727751639658038e-13	1.1782670888007325	37.233498209107964	33.30790357033872
['X[Gender=Masc]', 'Y[Number=Sing]']	4.575591898025849e-13	1.1765230022886943	37.09704929217124	33.28232593726091
['X-[mod]->Y', 'Y[Gender=Masc]']	3.009475769242973e-11	1.1546350171126059	54.61367900392291	32.05847016419703
['X[Gender=Masc]', 'X-[mod]->Y']	6.331859350927593e-11	1.1518054866591507	54.61367900392291	32.019999999999996
['X-[mod]->Y']	2.2226106918225729e-10	21.644307692307695	99.98294388538291	30.06153846153846
['Y[Gender=Masc]']	3.2272657320670596e-10	1.1454638054104724	54.61367900392291	31.93377879724743
['X[Gender=Masc]']	8.226786930747243e-10	1.1417218624327268	54.61367900392291	31.882903514885992
['X[Number=Plur]', 'Y[Number=Plur]', 'Y[Shared=Yes]']	9.721909430022091e-07	2.0698326549072816	0.5799078969810677	61.81818181818181
['X[Number=Plur]', 'Y[Shared=Yes]']	1.5257612855279731e-06	2.020537003289707	0.5969640115981579	60.3448275862069
['Y[Number=Plur]', 'Y[Shared=Yes]']	4.062303736162105e-05	1.7985753402201279	0.6140201262152482	53.73134328358209
['Y[Number=Sing]']	0.0003805788970481736	1.0839297332465843	70.1688555347092	30.706075533661743
['X[Number=Plur]', 'Y[Number=Plur]', 'Y[Typo=Yes]']	0.008180941336347995	2.147762213870858	0.15350503155381204	64.28571428571429
