#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
mod	3.5313451806790585e-262	2.9012211463481052	25.194859911523064	53.321444493981275
det	4.893289102885277e-31	4.577323973622634	0.969033073520118	100.0
subj	3.5371445715601883e-09	2.703428773418169	0.6741099641879081	59.25925925925925
comp:obl	1.78926563120924e-05	2.5447272817756543	0.4002527912365704	55.88235294117647
parataxis	0.0006386347469152032	1.3538564007956548	2.085527701706341	29.64071856287425
udep	0.001589382544075812	2.196536424371799	0.2949231093322098	48.275862068965516
conj	0.006170057501587519	1.15283255378235	5.687802822835475	25.186567164179102
comp:obj@x	0.37081309471909674	1.1725898345234125	0.16852749104697703	25.806451612903224
comp:obj	0.6360596503127607	0.9904344551446148	26.458816094375393	21.858684302123216
conj:emb	0.9467716377137161	0.5238519911791413	0.06319780914261638	11.538461538461538
root	1.0	0.4937095732059385	38.002949231093325	15.10381781647689
