#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
parataxis	6.793379300041594e-151	15.945628939435462	35.03649635036496	31.21951219512195
appos	6.398686402587571e-07	12.788500826928688	1.2773722627737227	36.84210526315789
mod@relcl	0.001164339455872836	1.4003784974199576	19.89051094890511	3.850229600847757
comp:pred	0.029152037450792638	34.36380255941499	0.18248175182481752	100.0
orphan	0.029152037450792638	34.36380255941499	0.18248175182481752	100.0
subj	0.2561574686959011	3.4347349177330897	0.18248175182481752	10.0
comp:obj	0.33354333369954936	1.0689695728878532	10.583941605839415	3.0949839914621133
mod	0.5066210598500651	1.065909428868833	0.9124087591240875	3.1055900621118013
conj	0.9965118050946286	0.5823698659064512	3.64963503649635	1.7421602787456445
root	1.0	0.24077395807337162	29.927007299270077	1.364279178104983
